id_grid,crime_count,num_potholes,bank_a,bar_a,beauty_shop_a,cafe_a,car_dealership_a,car_wash_a,cinema_a,courthouse_a,dentist_a,department_store_a,fast_food_a,golf_course_a,hospital_a,hotel_a,motel_a,museum_a,nightclub_a,park_a,pharmacy_a,playground_a,post_office_a,restaurant_a,school_a,sports_centre_a,stadium_a,supermarket_a,swimming_pool_a,theatre_a,theme_park_a,track_a,university_a,bakery,bank,bar,cafe,car_dealership,cinema,convenience,department_store,fast_food,gift_shop,hairdresser,hotel,motel,nightclub,pharmacy,playground,pub,restaurant,school,supermarket,theatre,university,unemployment_rate,income,poverty_rate,density
81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029046051983105406,71571.69635727977,0.0875251069632768,310.7552719008544
82,269,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032019208299106476,69891.58836357799,0.06906420595629663,1023.2174897052483
83,580,43,3,0,3,1,0,2,0,0,0,4,8,0,0,4,0,0,0,4,0,1,0,8,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0274100099239699,75028.22634037428,0.09728234651286995,1740.123639432597
84,246,53,4,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,11,1,2,0,0,1,1,0,1,15,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,1,0,0,0,0,0,5,0,2,0,0,0.0335542179569186,82590.75170078433,0.06113631092360906,1969.639553267967
85,312,83,5,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,6,0,2,9,2,0,1,8,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.02419795640851684,81296.25826778063,0.05709861061926393,1823.5381996916446
86,592,94,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,1,2,2,0,1,12,0,0,1,0,0,2,0,1,0,0,0,1,4,0,0,0,0,0,0,1,0,9,1,1,0,0,0.016469938152760138,70373.81895503525,0.09479934223861759,2227.9478481287
87,1554,104,0,0,0,0,0,5,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,5,0,0,0,0,0,7,0,1,10,0,3,0,13,0,3,0,0,0,0,0,0,13,0,2,0,1,0.043161927320350325,64349.08427145782,0.15020518031963825,1905.6651874172214
88,1104,75,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0.04960583616513818,69926.44680304811,0.10017455369332305,3006.8344254327008
89,126,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.03315093760935196,74459.63738249513,0.08602046183348291,1403.78131474379
90,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012175345967414297,80138.64261027935,0.06997654877394535,873.1963155617049
